Age,Age_Group,Gender,MaritalStatus,Education_Level,Department,JobRole,Job_Satisfaction_Level,Work_Life_Balance_Level,MonthlyIncome,OverTime,OverTime_Flag,YearsAtCompany,Tenure_Group,Attrition,Attrition_Flag,BusinessTravel,DistanceFromHome,Commute_Distance,High_Risk,Long_Without_Promo,Stock_Option_Level,Performance_Rating_Level,EmployeeNumber,EducationField
35,26-35,Male,Married,Bachelor,Research & Development,Laboratory Technician,Medium,High,2426,No,0,5,2-5 years,No,0,Travel_Rarely,16,Very Far,1,0,Low,Good,14,Medical
29,26-35,Female,Single,College,Research & Development,Laboratory Technician,High,High,4193,Yes,1,9,5-10 years,No,0,Travel_Rarely,15,Very Far,0,0,,Good,15,Life Sciences
31,26-35,Male,Divorced,Below College,Research & Development,Research Scientist,High,Medium,2911,No,0,5,2-5 years,No,0,Travel_Rarely,26,Very Far,1,1,Low,Good,16,Life Sciences
34,26-35,Male,Divorced,College,Research & Development,Laboratory Technician,Very High,High,2661,No,0,2,0-2 years,No,0,Travel_Rarely,19,Very Far,0,0,Low,Good,18,Medical
28,26-35,Male,Single,Bachelor,Research & Development,Laboratory Technician,High,High,2028,Yes,1,4,2-5 years,Yes,1,Travel_Rarely,24,Very Far,0,0,,Good,19,Life Sciences
29,26-35,Female,Divorced,Master,Research & Development,Manufacturing Director,Low,High,9980,No,0,10,5-10 years,No,0,Travel_Rarely,21,Very Far,1,1,Low,Good,20,Life Sciences
32,26-35,Male,Divorced,College,Research & Development,Research Scientist,Medium,Medium,3298,Yes,1,6,5-10 years,No,0,Travel_Rarely,5,Moderate,1,0,Medium,Good,21,Life Sciences
22,18-25,Male,Divorced,College,Research & Development,Laboratory Technician,Very High,Medium,2935,Yes,1,1,0-2 years,No,0,Non-Travel,16,Very Far,1,0,Medium,Good,22,Medical
53,46-55,Female,Married,Master,Sales,Manager,Very High,High,15427,No,0,25,20+ years,No,0,Travel_Rarely,2,Near,0,1,,Good,23,Life Sciences
38,36-45,Male,Single,Bachelor,Research & Development,Research Scientist,Very High,High,3944,Yes,1,3,2-5 years,No,0,Travel_Rarely,2,Near,0,0,,Good,24,Life Sciences
24,18-25,Female,Divorced,College,Research & Development,Manufacturing Director,High,Medium,4011,No,0,4,2-5 years,No,0,Non-Travel,11,Very Far,1,0,Low,Good,26,Other
36,36-45,Male,Single,Master,Sales,Sales Representative,Low,High,3407,No,0,5,2-5 years,Yes,1,Travel_Rarely,9,Far,1,0,,Outstanding,27,Life Sciences
34,26-35,Female,Single,Master,Research & Development,Research Director,Medium,High,11994,No,0,12,10-20 years,No,0,Travel_Rarely,7,Far,1,0,,Good,28,Life Sciences
21,18-25,Male,Single,College,Research & Development,Research Scientist,Very High,High,1232,No,0,0,,No,0,Travel_Rarely,15,Very Far,0,0,,Good,30,Life Sciences
34,26-35,Male,Single,Below College,Research & Development,Research Scientist,Low,High,2960,No,0,4,2-5 years,Yes,1,Travel_Rarely,6,Far,1,0,,Good,31,Medical
53,46-55,Female,Divorced,Bachelor,Research & Development,Manager,High,Medium,19094,No,0,14,10-20 years,No,0,Travel_Rarely,5,Moderate,1,1,Low,Good,32,Other
32,26-35,Female,Single,Below College,Research & Development,Research Scientist,Low,High,3919,Yes,1,10,5-10 years,Yes,1,Travel_Frequently,16,Very Far,1,1,,Outstanding,33,Life Sciences
42,36-45,Male,Married,Master,Sales,Sales Executive,Medium,High,6825,No,0,9,5-10 years,No,0,Travel_Rarely,8,Far,1,1,Low,Good,35,Marketing
44,36-45,Female,Married,Master,Research & Development,Healthcare Representative,Very High,High,10248,No,0,22,20+ years,No,0,Travel_Rarely,7,Far,0,1,Low,Good,36,Medical
46,46-55,Female,Single,Master,Sales,Manager,Low,Medium,18947,No,0,2,0-2 years,No,0,Travel_Rarely,2,Near,1,0,,Good,38,Marketing
33,26-35,Male,Single,Bachelor,Research & Development,Laboratory Technician,Very High,High,2496,No,0,1,0-2 years,No,0,Travel_Rarely,2,Near,0,0,,Good,39,Medical
44,36-45,Male,Married,Master,Research & Development,Healthcare Representative,Very High,Very High,6465,Yes,1,4,2-5 years,No,0,Travel_Rarely,10,Far,0,0,,Good,40,Other
30,26-35,Male,Single,College,Research & Development,Laboratory Technician,High,High,2206,No,0,10,5-10 years,No,0,Travel_Rarely,9,Far,0,0,,Good,41,Medical
39,36-45,Male,Married,Bachelor,Sales,Sales Representative,Very High,Very High,2086,No,0,1,0-2 years,Yes,1,Travel_Rarely,5,Moderate,0,0,Low,Good,42,Technical Degree
24,18-25,Male,Married,Bachelor,Research & Development,Research Scientist,Very High,Medium,2293,Yes,1,2,0-2 years,Yes,1,Travel_Rarely,1,Near,1,0,Low,Good,45,Medical
43,36-45,Female,Divorced,College,Research & Development,Research Scientist,High,Medium,2645,No,0,5,2-5 years,No,0,Travel_Rarely,2,Near,1,0,Medium,Good,46,Medical
50,46-55,Male,Married,College,Sales,Sales Representative,High,High,2683,Yes,1,3,2-5 years,Yes,1,Travel_Rarely,3,Moderate,0,0,,Good,47,Marketing
35,26-35,Female,Married,Bachelor,Sales,Sales Representative,Very High,High,2014,No,0,2,0-2 years,No,0,Travel_Rarely,2,Near,0,0,,Good,49,Marketing
36,36-45,Female,Married,Master,Research & Development,Research Scientist,Low,Very High,3419,Yes,1,1,0-2 years,No,0,Travel_Rarely,5,Moderate,1,0,Low,Good,51,Life Sciences
33,26-35,Female,Married,Bachelor,Sales,Sales Executive,Low,High,5376,No,0,5,2-5 years,No,0,Travel_Frequently,1,Near,1,0,Medium,Good,52,Life Sciences
35,26-35,Male,Divorced,College,Research & Development,Laboratory Technician,Very High,High,1951,No,0,1,0-2 years,No,0,Travel_Rarely,4,Moderate,0,0,Low,Good,53,Other
27,26-35,Female,Divorced,Master,Research & Development,Laboratory Technician,Low,High,2341,No,0,1,0-2 years,No,0,Travel_Rarely,2,Near,1,0,Low,Good,54,Life Sciences
26,26-35,Male,Single,Bachelor,Research & Development,Laboratory Technician,High,Medium,2293,No,0,1,0-2 years,Yes,1,Travel_Rarely,25,Very Far,1,0,,Good,55,Life Sciences
27,26-35,Male,Single,Bachelor,Sales,Sales Executive,High,High,8726,No,0,9,5-10 years,No,0,Travel_Frequently,8,Far,0,0,,Good,56,Life Sciences
30,26-35,Female,Single,College,Research & Development,Laboratory Technician,Very High,High,4011,No,0,12,10-20 years,No,0,Travel_Frequently,1,Near,0,1,,Outstanding,57,Medical
41,36-45,Female,Married,Bachelor,Research & Development,Research Director,High,High,19545,No,0,22,20+ years,Yes,1,Travel_Rarely,12,Very Far,0,1,,Good,58,Technical Degree
34,26-35,Male,Single,Master,Sales,Sales Executive,High,High,4568,No,0,9,5-10 years,No,0,Non-Travel,23,Very Far,0,1,,Outstanding,60,Marketing
37,36-45,Male,Married,College,Research & Development,Research Scientist,Medium,High,3022,No,0,1,0-2 years,No,0,Travel_Rarely,19,Very Far,1,0,,Outstanding,61,Life Sciences
46,46-55,Male,Single,Master,Sales,Sales Executive,Very High,High,5772,Yes,1,9,5-10 years,No,0,Travel_Frequently,5,Moderate,0,0,,Outstanding,62,Marketing
35,26-35,Male,Married,Below College,Research & Development,Laboratory Technician,Very High,High,2269,No,0,1,0-2 years,No,0,Travel_Rarely,8,Far,0,0,,Good,63,Life Sciences
48,46-55,Male,Single,College,Research & Development,Laboratory Technician,High,High,5381,Yes,1,1,0-2 years,Yes,1,Travel_Rarely,1,Near,0,0,,Good,64,Life Sciences
28,26-35,Male,Single,Master,Research & Development,Laboratory Technician,High,Medium,3441,Yes,1,2,0-2 years,Yes,1,Travel_Rarely,5,Moderate,1,0,,Good,65,Technical Degree
44,36-45,Female,Divorced,Doctor,Sales,Sales Executive,Low,Medium,5454,Yes,1,4,2-5 years,No,0,Travel_Rarely,1,Near,1,0,Low,Outstanding,68,Marketing
35,26-35,Male,Married,College,Research & Development,Healthcare Representative,Low,High,9884,Yes,1,4,2-5 years,No,0,Non-Travel,11,Very Far,1,0,Low,Good,70,Medical
26,26-35,Female,Married,Bachelor,Sales,Sales Executive,Very High,Medium,4157,Yes,1,2,0-2 years,No,0,Travel_Rarely,23,Very Far,1,0,Low,Good,72,Marketing
33,26-35,Female,Single,College,Research & Development,Research Director,Very High,High,13458,Yes,1,15,10-20 years,No,0,Travel_Frequently,1,Near,0,1,,Good,73,Life Sciences
35,26-35,Male,Married,Doctor,Sales,Sales Executive,Low,Medium,9069,No,0,9,5-10 years,No,0,Travel_Frequently,18,Very Far,1,0,Low,Outstanding,74,Life Sciences
35,26-35,Female,Married,Master,Research & Development,Laboratory Technician,Low,High,4014,Yes,1,2,0-2 years,No,0,Travel_Rarely,23,Very Far,1,0,Low,Good,75,Medical
31,26-35,Male,Divorced,Master,Research & Development,Laboratory Technician,Very High,Medium,5915,No,0,7,5-10 years,No,0,Travel_Rarely,7,Far,1,0,Low,Outstanding,76,Life Sciences
37,36-45,Male,Divorced,Master,Research & Development,Manufacturing Director,High,Very High,5993,No,0,7,5-10 years,No,0,Travel_Rarely,1,Near,0,0,Low,Good,77,Life Sciences
32,26-35,Male,Married,Bachelor,Research & Development,Manufacturing Director,Very High,High,6162,Yes,1,9,5-10 years,No,0,Travel_Rarely,1,Near,0,1,Low,Outstanding,78,Medical
38,36-45,Female,Single,Doctor,Research & Development,Laboratory Technician,Very High,High,2406,No,0,10,5-10 years,No,0,Travel_Frequently,29,Very Far,0,1,,Good,79,Life Sciences
50,46-55,Female,Divorced,College,Research & Development,Research Director,High,Medium,18740,Yes,1,27,20+ years,No,0,Travel_Rarely,7,Far,1,1,Low,Good,80,Medical
59,56-65,Female,Single,Bachelor,Sales,Sales Executive,Low,Medium,7637,No,0,21,20+ years,No,0,Travel_Rarely,25,Very Far,1,1,,Good,81,Life Sciences
36,36-45,Female,Divorced,Bachelor,Research & Development,Healthcare Representative,High,High,10096,No,0,17,10-20 years,No,0,Travel_Rarely,8,Far,0,1,High,Good,83,Technical Degree
55,46-55,Female,Divorced,Bachelor,Research & Development,Manager,High,High,14756,Yes,1,5,2-5 years,No,0,Travel_Rarely,8,Far,0,0,High,Good,84,Medical
36,36-45,Male,Single,Bachelor,Research & Development,Manufacturing Director,Medium,High,6499,No,0,6,5-10 years,No,0,Travel_Frequently,11,Very Far,1,0,,Good,85,Life Sciences
45,36-45,Male,Divorced,Bachelor,Research & Development,Research Scientist,Low,High,9724,No,0,1,0-2 years,No,0,Travel_Rarely,7,Far,1,0,Low,Good,86,Life Sciences
35,26-35,Male,Married,Bachelor,Research & Development,Research Scientist,Low,Medium,2194,No,0,3,2-5 years,No,0,Travel_Frequently,1,Near,1,0,Low,Good,88,Medical
36,36-45,Male,Married,Bachelor,Research & Development,Research Scientist,High,Medium,3388,Yes,1,1,0-2 years,Yes,1,Travel_Rarely,9,Far,1,0,Low,Good,90,Medical
59,56-65,Female,Single,Below College,Sales,Sales Executive,High,Medium,5473,No,0,4,2-5 years,No,0,Travel_Frequently,1,Near,1,0,,Good,91,Life Sciences
29,26-35,Male,Married,Bachelor,Research & Development,Research Scientist,Medium,High,2703,No,0,5,2-5 years,No,0,Travel_Rarely,2,Near,1,0,Low,Outstanding,94,Life Sciences
31,26-35,Male,Single,Master,Research & Development,Research Scientist,Medium,High,2501,No,0,1,0-2 years,No,0,Travel_Rarely,1,Near,1,0,,Good,95,Medical
32,26-35,Male,Married,Bachelor,Research & Development,Research Scientist,Medium,High,6220,No,0,10,5-10 years,No,0,Travel_Rarely,1,Near,1,0,Medium,Good,96,Life Sciences
36,36-45,Female,Married,Bachelor,Research & Development,Laboratory Technician,Very High,High,3038,No,0,1,0-2 years,No,0,Travel_Rarely,6,Far,0,0,,Good,97,Life Sciences
31,26-35,Female,Single,Master,Research & Development,Manufacturing Director,Very High,High,4424,No,0,11,10-20 years,No,0,Travel_Rarely,8,Far,0,0,,Outstanding,98,Life Sciences
35,26-35,Male,Single,Master,Sales,Sales Executive,Low,High,4312,No,0,15,10-20 years,No,0,Travel_Rarely,1,Near,1,0,,Good,100,Marketing
45,36-45,Male,Married,Master,Research & Development,Research Director,Low,Very High,13245,Yes,1,0,,No,0,Travel_Rarely,6,Far,1,0,,Good,101,Other
37,36-45,Male,Single,Master,Research & Development,Research Director,High,Very High,13664,No,0,5,2-5 years,No,0,Travel_Rarely,7,Far,0,0,,Good,102,Medical
46,46-55,Male,Divorced,College,Human Resources,Human Resources,Medium,High,5021,Yes,1,4,2-5 years,No,0,Travel_Rarely,5,Moderate,1,0,Low,Outstanding,103,Medical
30,26-35,Male,Married,Below College,Research & Development,Laboratory Technician,Very High,Medium,5126,Yes,1,10,5-10 years,No,0,Travel_Rarely,1,Near,1,1,Medium,Good,104,Life Sciences
35,26-35,Male,Single,Bachelor,Research & Development,Research Scientist,High,High,2859,No,0,6,5-10 years,No,0,Travel_Rarely,1,Near,0,0,,Good,105,Medical
55,46-55,Male,Married,College,Sales,Sales Executive,Very High,High,10239,No,0,1,0-2 years,No,0,Travel_Rarely,1,Near,0,0,Low,Good,106,Life Sciences
38,36-45,Female,Divorced,Bachelor,Research & Development,Research Scientist,Very High,High,5329,Yes,1,13,10-20 years,No,0,Non-Travel,6,Far,0,0,High,Good,107,Medical
34,26-35,Male,Married,College,Research & Development,Manufacturing Director,Medium,High,4325,No,0,5,2-5 years,No,0,Travel_Rarely,1,Near,1,0,,Good,110,Medical
56,56-65,Male,Single,Bachelor,Research & Development,Manufacturing Director,Very High,Medium,7260,No,0,6,5-10 years,No,0,Travel_Rarely,7,Far,1,0,,Good,112,Life Sciences
23,18-25,Male,Divorced,Below College,Sales,Sales Representative,Low,High,2322,No,0,0,,No,0,Travel_Rarely,2,Near,1,0,Low,Good,113,Technical Degree
51,46-55,Male,Married,Master,Research & Development,Laboratory Technician,Very High,High,2075,No,0,4,2-5 years,No,0,Travel_Rarely,9,Far,0,0,Medium,Outstanding,116,Life Sciences
30,26-35,Male,Married,Bachelor,Research & Development,Healthcare Representative,Very High,High,4152,No,0,11,10-20 years,No,0,Travel_Rarely,2,Near,0,1,High,Good,117,Life Sciences
46,46-55,Male,Single,College,Sales,Sales Executive,Very High,High,9619,No,0,9,5-10 years,Yes,1,Travel_Rarely,9,Far,0,1,,Good,118,Medical
40,36-45,Male,Married,Master,Research & Development,Healthcare Representative,Medium,Medium,13503,No,0,22,20+ years,No,0,Travel_Frequently,1,Near,1,1,Low,Outstanding,119,Life Sciences
51,46-55,Male,Single,Master,Sales,Sales Executive,Very High,Low,5441,Yes,1,10,5-10 years,No,0,Travel_Rarely,21,Very Far,1,0,,Outstanding,120,Marketing
30,26-35,Female,Divorced,College,Sales,Sales Executive,Medium,Medium,5209,Yes,1,11,10-20 years,No,0,Travel_Rarely,4,Moderate,1,0,High,Good,121,Medical
46,46-55,Male,Married,Bachelor,Research & Development,Healthcare Representative,Low,Medium,10673,Yes,1,10,5-10 years,No,0,Travel_Frequently,1,Near,1,1,Low,Good,124,Medical
32,26-35,Male,Single,Master,Sales,Sales Executive,High,High,5010,No,0,11,10-20 years,No,0,Travel_Rarely,6,Far,0,1,,Good,125,Medical
54,46-55,Female,Married,Master,Research & Development,Research Director,High,Low,13549,No,0,4,2-5 years,No,0,Travel_Rarely,2,Near,1,0,Low,Good,126,Technical Degree
24,18-25,Female,Married,College,Sales,Sales Executive,High,Medium,4999,No,0,3,2-5 years,No,0,Travel_Rarely,3,Moderate,1,0,Low,Outstanding,128,Other
28,26-35,Male,Married,Bachelor,Sales,Sales Executive,High,Very High,4221,No,0,5,2-5 years,No,0,Non-Travel,4,Moderate,0,0,,Good,129,Medical
58,56-65,Male,Single,Master,Sales,Sales Executive,High,Medium,13872,No,0,37,20+ years,No,0,Travel_Rarely,10,Far,1,0,,Good,131,Medical
44,36-45,Male,Married,Bachelor,Research & Development,Laboratory Technician,Medium,Very High,2042,No,0,3,2-5 years,No,0,Non-Travel,23,Very Far,1,0,Low,Good,132,Medical
37,36-45,Male,Divorced,Master,Human Resources,Human Resources,Low,High,2073,Yes,1,3,2-5 years,Yes,1,Travel_Rarely,6,Far,1,0,,Outstanding,133,Human Resources
32,26-35,Male,Single,Below College,Research & Development,Research Scientist,Low,High,2956,No,0,1,0-2 years,No,0,Travel_Rarely,1,Near,1,0,,Good,134,Life Sciences
20,18-25,Female,Single,Bachelor,Research & Development,Laboratory Technician,Very High,High,2926,Yes,1,1,0-2 years,Yes,1,Travel_Frequently,6,Far,0,0,,Good,137,Life Sciences
34,26-35,Female,Single,Master,Research & Development,Research Scientist,High,High,4809,No,0,16,10-20 years,No,0,Travel_Rarely,6,Far,0,0,,Good,138,Other
37,36-45,Male,Divorced,College,Research & Development,Healthcare Representative,Very High,Very High,5163,No,0,1,0-2 years,No,0,Non-Travel,2,Near,0,0,Low,Good,139,Life Sciences
59,56-65,Female,Married,Master,Human Resources,Manager,Very High,High,18844,No,0,3,2-5 years,No,0,Non-Travel,2,Near,0,0,Low,Outstanding,140,Human Resources
50,46-55,Female,Married,Bachelor,Research & Development,Research Director,Medium,Medium,18172,Yes,1,8,5-10 years,No,0,Travel_Frequently,1,Near,1,0,,Good,141,Life Sciences
25,18-25,Male,Single,Bachelor,Sales,Sales Executive,High,High,5744,Yes,1,6,5-10 years,Yes,1,Travel_Rarely,5,Moderate,0,0,,Good,142,Marketing
25,18-25,Male,Married,Below College,Research & Development,Research Scientist,Very High,High,2889,No,0,2,0-2 years,No,0,Travel_Rarely,7,Far,0,0,Medium,Good,143,Medical
22,18-25,Female,Single,Bachelor,Research & Development,Laboratory Technician,Very High,High,2871,No,0,0,,No,0,Travel_Rarely,15,Very Far,0,0,,Good,144,Medical
51,46-55,Female,Single,Master,Research & Development,Healthcare Representative,Low,Medium,7484,No,0,13,10-20 years,No,0,Travel_Frequently,1,Near,1,1,,Outstanding,145,Medical
34,26-35,Male,Single,Bachelor,Research & Development,Laboratory Technician,High,High,6074,Yes,1,9,5-10 years,Yes,1,Travel_Frequently,7,Far,0,0,,Outstanding,147,Life Sciences
54,46-55,Female,Single,Bachelor,Human Resources,Manager,Very High,High,17328,Yes,1,5,2-5 years,No,0,Non-Travel,26,Very Far,0,1,,Good,148,Human Resources
24,18-25,Male,Married,Below College,Research & Development,Laboratory Technician,High,High,2774,No,0,5,2-5 years,No,0,Travel_Rarely,18,Very Far,0,0,Low,Good,150,Life Sciences
34,26-35,Female,Divorced,Master,Research & Development,Research Scientist,Medium,High,4505,No,0,1,0-2 years,No,0,Travel_Rarely,6,Far,1,0,Low,Good,151,Life Sciences
37,36-45,Male,Single,Bachelor,Sales,Sales Executive,Very High,High,7428,No,0,5,2-5 years,No,0,Travel_Rarely,3,Moderate,0,0,,Good,152,Life Sciences
34,26-35,Female,Single,Bachelor,Research & Development,Manager,Low,High,11631,No,0,11,10-20 years,No,0,Travel_Rarely,5,Moderate,1,1,,Good,153,Medical
36,36-45,Female,Married,College,Sales,Sales Executive,Very High,High,9738,No,0,9,5-10 years,No,0,Travel_Frequently,11,Very Far,0,0,Low,Good,154,Technical Degree
36,36-45,Female,Divorced,College,Research & Development,Laboratory Technician,Very High,High,2835,No,0,1,0-2 years,No,0,Travel_Rarely,3,Moderate,0,0,Low,Outstanding,155,Life Sciences
43,36-45,Male,Married,College,Sales,Manager,Very High,Very High,16959,Yes,1,25,20+ years,No,0,Travel_Frequently,26,Very Far,0,1,Medium,Good,158,Life Sciences
30,26-35,Male,Divorced,Bachelor,Research & Development,Research Scientist,High,Medium,2613,No,0,10,5-10 years,No,0,Travel_Frequently,23,Very Far,1,0,High,Outstanding,159,Life Sciences
33,26-35,Male,Married,College,Sales,Sales Executive,Medium,Very High,6146,No,0,7,5-10 years,No,0,Non-Travel,22,Very Far,1,0,Low,Good,160,Marketing
56,56-65,Female,Married,Master,Research & Development,Research Scientist,Medium,High,4963,Yes,1,5,2-5 years,Yes,1,Travel_Rarely,14,Very Far,1,1,High,Good,161,Life Sciences
51,46-55,Male,Single,Bachelor,Research & Development,Research Director,High,High,19537,No,0,20,10-20 years,No,0,Travel_Rarely,6,Far,0,1,,Good,162,Life Sciences
31,26-35,Male,Married,Master,Sales,Sales Executive,High,Medium,6172,Yes,1,7,5-10 years,Yes,1,Travel_Rarely,6,Far,1,1,,Good,163,Life Sciences
26,26-35,Female,Married,Bachelor,Research & Development,Research Scientist,Medium,Medium,2368,No,0,5,2-5 years,No,0,Travel_Rarely,6,Far,1,1,,Good,164,Other
58,56-65,Female,Married,Master,Research & Development,Healthcare Representative,Very High,Medium,10312,No,0,40,20+ years,Yes,1,Travel_Rarely,23,Very Far,1,1,Low,Good,165,Medical
19,18-25,Male,Single,Below College,Sales,Sales Representative,High,Medium,1675,Yes,1,0,,Yes,1,Travel_Rarely,22,Very Far,1,0,,Good,167,Marketing
22,18-25,Male,Married,Below College,Research & Development,Laboratory Technician,Very High,High,2523,No,0,2,0-2 years,No,0,Travel_Rarely,2,Near,0,0,Low,Good,169,Technical Degree
49,46-55,Female,Married,Master,Research & Development,Manufacturing Director,Low,Medium,6567,No,0,15,10-20 years,No,0,Travel_Rarely,20,Very Far,1,1,,Good,170,Medical
43,36-45,Female,Single,Bachelor,Research & Development,Research Scientist,High,High,4739,No,0,3,2-5 years,No,0,Travel_Frequently,28,Very Far,0,0,,Good,171,Medical
50,46-55,Female,Single,Bachelor,Sales,Sales Executive,Very High,High,9208,No,0,2,0-2 years,No,0,Travel_Frequently,12,Very Far,0,0,,Good,174,Marketing
31,26-35,Female,Married,Bachelor,Sales,Sales Executive,High,High,4559,Yes,1,2,0-2 years,Yes,1,Travel_Rarely,20,Very Far,0,0,Low,Good,175,Life Sciences
41,36-45,Male,Divorced,Below College,Sales,Sales Executive,High,High,8189,Yes,1,9,5-10 years,No,0,Travel_Rarely,9,Far,0,0,Low,Good,176,Life Sciences
26,26-35,Female,Married,Below College,Human Resources,Human Resources,High,High,2942,No,0,8,5-10 years,No,0,Travel_Rarely,25,Very Far,0,1,Low,Outstanding,177,Life Sciences
36,36-45,Male,Divorced,College,Research & Development,Manufacturing Director,Medium,High,4941,No,0,3,2-5 years,No,0,Travel_Rarely,6,Far,1,0,Medium,Outstanding,178,Medical
51,46-55,Male,Single,Master,Research & Development,Manufacturing Director,Very High,High,10650,No,0,4,2-5 years,Yes,1,Travel_Frequently,8,Far,0,0,,Good,179,Life Sciences
39,36-45,Female,Married,Master,Sales,Sales Executive,High,Very High,5902,No,0,15,10-20 years,No,0,Travel_Rarely,4,Moderate,0,1,Low,Good,182,Life Sciences
25,18-25,Male,Married,Bachelor,Sales,Sales Executive,High,High,8639,No,0,2,0-2 years,No,0,Travel_Rarely,28,Very Far,0,0,,Good,183,Life Sciences
30,26-35,Male,Married,Bachelor,Human Resources,Human Resources,Very High,Low,6347,Yes,1,11,10-20 years,No,0,Travel_Rarely,9,Far,1,1,,Good,184,Human Resources
32,26-35,Female,Single,Bachelor,Research & Development,Laboratory Technician,Low,Very High,4200,No,0,5,2-5 years,Yes,1,Travel_Rarely,9,Far,1,0,,Outstanding,190,Medical
45,36-45,Male,Single,Bachelor,Research & Development,Research Scientist,Very High,Medium,3452,No,0,6,5-10 years,No,0,Travel_Rarely,29,Very Far,1,0,,Good,192,Medical
38,36-45,Female,Single,Doctor,Research & Development,Research Scientist,High,High,4317,Yes,1,3,2-5 years,No,0,Travel_Rarely,3,Moderate,0,0,,Outstanding,193,Technical Degree
30,26-35,Female,Single,Bachelor,Research & Development,Research Scientist,High,Medium,2632,No,0,5,2-5 years,No,0,Travel_Rarely,18,Very Far,1,0,,Good,194,Life Sciences
32,26-35,Male,Divorced,College,Sales,Sales Executive,Very High,Very High,4668,No,0,8,5-10 years,No,0,Travel_Frequently,9,Far,0,0,High,Good,195,Medical
30,26-35,Female,Divorced,Bachelor,Research & Development,Research Scientist,Low,High,3204,No,0,3,2-5 years,No,0,Travel_Rarely,5,Moderate,1,0,Low,Good,197,Technical Degree
30,26-35,Male,Single,Below College,Research & Development,Laboratory Technician,Very High,High,2720,No,0,5,2-5 years,No,0,Travel_Rarely,2,Near,0,0,,Good,198,Medical
41,36-45,Male,Divorced,Bachelor,Research & Development,Manager,Low,Medium,17181,No,0,7,5-10 years,No,0,Travel_Frequently,10,Far,1,1,Low,Good,199,Life Sciences
41,36-45,Male,Married,Master,Research & Development,Laboratory Technician,Low,High,2238,No,0,5,2-5 years,No,0,Travel_Rarely,9,Far,1,0,Low,Outstanding,200,Life Sciences
19,18-25,Female,Single,Below College,Research & Development,Laboratory Technician,Medium,High,1483,No,0,1,0-2 years,No,0,Travel_Rarely,3,Moderate,1,0,,Good,201,Medical
40,36-45,Female,Divorced,Bachelor,Research & Development,Research Scientist,Medium,High,5605,No,0,20,10-20 years,No,0,Travel_Frequently,26,Very Far,1,0,Low,Good,202,Medical
35,26-35,Male,Married,Doctor,Sales,Sales Executive,Medium,High,7295,No,0,10,5-10 years,No,0,Travel_Rarely,1,Near,1,0,Medium,Good,204,Marketing
53,46-55,Male,Married,College,Sales,Sales Representative,High,Low,2306,Yes,1,7,5-10 years,No,0,Travel_Rarely,6,Far,1,1,Low,Outstanding,205,Marketing
45,36-45,Male,Divorced,Bachelor,Research & Development,Laboratory Technician,Medium,Low,2348,No,0,17,10-20 years,No,0,Travel_Rarely,9,Far,1,0,Low,Good,206,Life Sciences
32,26-35,Female,Single,Bachelor,Sales,Sales Executive,Very High,High,8998,No,0,9,5-10 years,No,0,Travel_Frequently,8,Far,0,1,,Good,207,Marketing
29,26-35,Male,Married,Below College,Research & Development,Manufacturing Director,High,High,4319,No,0,10,5-10 years,No,0,Non-Travel,1,Near,0,0,Low,Good,208,Technical Degree
